trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
57,0.5,1.0,76.22776109998813,,76.2124327000347,76.22776109998813,76.72743860003538,76.72743860003538,76.72743860003538,77.06180269998731,77.24554229999194,left,-1.0,1,1,0.5037514999858104,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
58,0.5,1.0,77.27903680002782,,77.24565040000016,77.27903680002782,77.81118940003216,77.76095460000215,77.76095460000215,78.0769306999864,78.36481270001968,left,-1.0,1,1,0.5837146999547258,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
59,0.5,1.0,78.3963262999896,,78.36498200002825,78.3963262999896,78.91132100002142,78.87965050002094,78.87965050002094,79.19456780003384,79.33268759999191,left,-1.0,1,1,0.4238354000262916,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
60,0.5,1.0,79.3440614999854,,79.33276250003837,79.3440614999854,79.87995909998426,79.87995909998426,79.87995909998426,80.21231259999331,80.295279700018,left,-1.0,1,1,0.40645589999621734,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
61,0.5,1.0,80.31099740002537,,80.29538419999881,80.31099740002537,80.82695230003446,80.82695230003446,80.82695230003446,81.12729199999012,81.76332930003991,right,1.0,1,1,0.9320288999588229,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
62,0.5,1.0,81.77780600002734,,81.76343779999297,81.77780600002734,82.29623969999375,82.29623969999375,82.29623969999375,82.61172929999884,83.02853070001584,left,-1.0,1,1,0.7069960999651812,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
63,0.5,1.0,83.06193359999452,,83.02859890001127,83.06193359999452,83.56199810001999,83.52788290003082,83.52788290003082,83.84438170003705,84.16253870003857,left,-1.0,1,1,0.614358099992387,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
64,0.5,1.0,84.19409170001745,,84.16263189999154,84.19409170001745,84.71033820003504,84.6770979000139,84.6770979000139,84.97844830004033,86.26187819999177,right,1.0,0,0,1.5822847000090405,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
65,0.5,1.5,86.27798000001349,,86.26202230004128,86.27798000001349,86.79507809999632,86.79507809999632,86.79507809999632,87.11272080003982,87.42885970004136,right,1.5,1,1,0.6328964999993332,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
66,0.5,1.5,87.44394620001549,,87.4289363999851,87.44394620001549,87.95997700002044,87.95997700002044,87.95997700002044,88.29452890000539,88.41195400001016,right,1.5,1,1,0.44249610003316775,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
67,0.5,1.5,88.4273199000163,,88.41204870003276,88.4273199000163,88.92729010002222,88.92729010002222,88.92729010002222,89.24508309998782,89.54736190004041,right,1.5,0,0,0.6045202999957837,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
68,0.5,2.0,89.57820099999662,,89.5474455000367,89.57820099999662,90.0787558000302,90.0448039000039,90.0448039000039,90.3617377000046,90.64572850003606,left,-2.0,1,1,0.5992404000135139,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
69,0.5,2.0,90.67724400002044,,90.64581900002668,90.67724400002044,91.17778080003336,91.14675870002247,91.14675870002247,91.47821349999867,91.92863740003668,right,2.0,1,1,0.7734137999941595,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
70,0.5,2.0,91.9442626000382,,91.92870809999295,91.9442626000382,92.46449560002657,92.44346430001315,92.44346430001315,92.76156890002312,93.06268030003412,left,-2.0,1,1,0.6160858999937773,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
71,0.5,1.5,93.07673820003401,,93.06278660002863,93.07673820003401,93.57715299999109,93.57715299999109,93.57715299999109,93.89398390002316,94.16224760003388,left,-1.5,1,1,0.5798767000087537,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
72,0.5,1.5,94.18005640001502,,94.16236070002196,94.18005640001502,94.6794394000317,94.6794394000317,94.6794394000317,95.0118308000383,95.47815410001203,right,1.5,0,0,0.7861874999944121,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
73,0.5,2.0,95.51142039999831,,95.47825310000917,95.51142039999831,96.01055950002046,95.97836870001629,95.97836870001629,96.29502010002034,96.69514030002756,left,-2.0,1,1,0.691095799964387,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
74,0.5,2.0,96.71010239998577,,96.69522550003603,96.71010239998577,97.24544770002831,97.24544770002831,97.24544770002831,97.54357630002778,97.94990509998752,right,2.0,1,1,0.7024451999459416,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
75,0.5,2.0,97.9788644000073,,97.95004249998601,97.9788644000073,98.47760350001045,98.46125220000977,98.46125220000977,98.77848570002243,98.91182440001285,right,2.0,1,1,0.439801600005012,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
76,0.5,1.5,98.94417000003159,,98.91193150001345,98.94417000003159,99.46140040003229,99.41128010000102,99.41128010000102,99.71205969998846,100.0290917000384,right,1.5,1,1,0.5951539999805391,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
77,0.5,1.5,100.06102349999128,,100.02920460002497,100.06102349999128,100.56258880003588,100.54497330001323,100.54497330001323,100.86027760000434,101.06120639998699,left,-1.5,1,1,0.5135771000059322,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
78,0.5,1.5,101.07696660002694,,101.06129879999207,101.07696660002694,101.57740310003283,101.57740310003283,101.57740310003283,101.91135120001854,102.44666690001031,left,-1.5,1,1,0.852677799994126,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
79,0.5,1.0,102.47796689998358,,102.44677350000711,102.47796689998358,102.99482570000691,102.96209300000919,102.96209300000919,103.26207510003587,103.93183930002851,right,1.0,1,1,0.9398098000092432,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
80,0.5,1.0,103.96183109999401,,103.93199860001914,103.96183109999401,104.46125759999268,104.44863669999177,104.44863669999177,104.77676330000395,105.28151440003421,left,-1.0,1,1,0.8091110000386834,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
81,0.5,1.0,105.31274740002118,,105.28165980003541,105.31274740002118,105.82728090003366,105.7955863000243,105.7955863000243,106.095222700038,106.39627269998891,left,-1.0,1,1,0.580935399979353,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
82,0.5,1.0,106.4281243000296,,106.3963669000077,106.4281243000296,106.9288495000219,106.91048140003113,106.91048140003113,107.21301060001133,107.39604339998914,left,-1.0,1,1,0.47920089995022863,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
83,0.5,1.0,107.41115230001742,,107.3961444000015,107.41115230001742,107.9281305000186,107.9281305000186,107.9281305000186,108.24711840000236,108.57977830001619,right,1.0,1,1,0.6474851000239141,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
84,0.5,1.0,108.59431780001614,,108.57988070003921,108.59431780001614,109.0939531000331,109.0939531000331,109.0939531000331,109.42759169999044,110.77914619998774,right,1.0,1,1,1.6839659999823198,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
85,0.5,1.0,110.79397090000566,,110.77923710003961,110.79397090000566,111.31064720003633,111.31064720003633,111.31064720003633,111.64616080000997,112.02973110001767,left,-1.0,1,1,0.7075462000211701,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
86,0.5,1.0,112.0443368999986,,112.029823400022,112.0443368999986,112.56331160000991,112.56331160000991,112.56331160000991,112.87799910001922,113.44490100000985,right,1.0,1,1,0.8757938999915496,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
87,0.5,1.0,113.46032539999578,,113.4449764000019,113.46032539999578,113.96094920003088,113.94523150002351,113.94523150002351,114.27787230000831,115.09668610000517,left,-1.0,1,1,1.1428615999757312,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
